Species	County	Sites	Day
cranolopha (fork)	Kangding	Jianjun 2019	done
kansuensis	Kangding	106	2
latituba	Litang	80, 82	4, 5
cranolopha (no-fork)	Litang	80, 83	4
longiflora	Dawu	31, 33, 34, 35	6
armata	Hongyuan	126	8
bidentata	Hongyuan	126	8
chinensis	Gansu	145	9
tricolor	Shangrila		
fletcheri	Xizang		
